Date,DayOfWeek,StoreID,StoreLocation,ProductCategory,UnitsSold,TotalSales_INR,Profit_INR
01-07-2023,Saturday,1,Bandra,Smartphones,8,640000,96000
01-07-2023,Saturday,1,Bandra,Accessories,25,50000,20000
01-07-2023,Saturday,1,Bandra,Audio,15,225000,67500
02-07-2023,Sunday,2,Andheri,Laptops,10,800000,80000
02-07-2023,Sunday,2,Andheri,Smartphones,12,960000,144000
03-07-2023,Monday,3,Colaba,Laptops,12,960000,96000
03-07-2023,Monday,3,Colaba,Accessories,30,60000,24000
04-07-2023,Tuesday,1,Bandra,Audio,20,300000,90000
05-07-2023,Wednesday,2,Andheri,Smartphones,15,1200000,180000
05-07-2023,Wednesday,2,Andheri,Accessories,40,80000,32000
06-07-2023,Thursday,3,Colaba,Audio,5,75000,22500
07-07-2023,Friday,1,Bandra,Smartphones,7,560000,84000
08-07-2023,Saturday,2,Andheri,Laptops,8,640000,64000
08-07-2023,Saturday,2,Andheri,Audio,10,150000,45000
09-07-2023,Sunday,3,Colaba,Accessories,22,44000,17600
10-07-2023,Monday,1,Bandra,Laptops,5,400000,40000
11-07-2023,Tuesday,2,Andheri,Smartphones,18,1440000,216000
12-07-2023,Wednesday,3,Colaba,Laptops,15,1200000,120000
13-07-2023,Thursday,1,Bandra,Accessories,35,70000,28000
14-07-2023,Friday,1,Bandra,Audio,25,375000,112500
15-07-2023,Saturday,2,Andheri,Audio,12,180000,54000
16-07-2023,Sunday,3,Colaba,Smartphones,9,720000,108000
17-07-2023,Monday,1,Bandra,Smartphones,10,800000,120000
18-07-2023,Tuesday,2,Andheri,Laptops,11,880000,88000
19-07-2023,Wednesday,3,Colaba,Accessories,28,56000,22400
20-07-2023,Thursday,1,Bandra,Laptops,4,320000,32000
21-07-2023,Friday,1,Bandra,Audio,18,270000,81000
22-07-2023,Saturday,2,Andheri,Smartphones,20,1600000,240000
23-07-2023,Sunday,3,Colaba,Audio,7,105000,31500
24-07-2023,Monday,1,Bandra,Accessories,30,60000,24000
25-07-2023,Tuesday,2,Andheri,Accessories,50,100000,40000
26-07-2023,Wednesday,3,Colaba,Laptops,14,1120000,112000
27-07-2023,Thursday,1,Bandra,Smartphones,9,720000,108000
28-07-2023,Friday,2,Andheri,Audio,15,225000,67500
29-07-2023,Saturday,3,Colaba,Smartphones,11,880000,132000
30-07-2023,Sunday,1,Bandra,Audio,22,330000,99000
01-08-2023,Tuesday,2,Andheri,Smartphones,22,1760000,264000
02-08-2023,Wednesday,3,Colaba,Accessories,35,70000,28000
03-08-2023,Thursday,1,Bandra,Laptops,6,480000,48000
04-08-2023,Friday,2,Andheri,Laptops,12,960000,96000
05-08-2023,Saturday,3,Colaba,Audio,8,120000,36000
06-08-2023,Sunday,1,Bandra,Accessories,40,80000,32000
07-08-2023,Monday,1,Bandra,Audio,28,420000,126000
08-08-2023,Tuesday,2,Andheri,Smartphones,14,1120000,168000
09-08-2023,Wednesday,3,Colaba,Laptops,18,1440000,144000
10-08-2023,Thursday,1,Bandra,Smartphones,11,880000,132000
11-08-2023,Friday,2,Andheri,Accessories,45,90000,36000
12-08-2023,Saturday,3,Colaba,Smartphones,13,1040000,156000
13-08-2023,Sunday,1,Bandra,Audio,30,450000,135000
14-08-2023,Monday,2,Andheri,Audio,18,270000,81000
15-08-2023,Tuesday,3,Colaba,Accessories,40,80000,32000
16-08-2023,Wednesday,1,Bandra,Laptops,7,560000,56000
17-08-2023,Thursday,2,Andheri,Laptops,14,1120000,112000
18-08-2023,Friday,3,Colaba,Laptops,16,1280000,128000
19-08-2023,Saturday,1,Bandra,Accessories,50,100000,40000
20-08-2023,Sunday,1,Bandra,Smartphones,12,960000,144000
21-08-2023,Monday,2,Andheri,Smartphones,25,2000000,300000
22-08-2023,Tuesday,3,Colaba,Audio,10,150000,45000
23-08-2023,Wednesday,1,Bandra,Audio,32,480000,144000
24-08-2023,Thursday,2,Andheri,Accessories,60,120000,48000
25-08-2023,Friday,3,Colaba,Smartphones,15,1200000,180000
26-08-2023,Saturday,1,Bandra,Accessories,45,90000,36000
27-08-2023,Sunday,2,Andheri,Audio,20,300000,90000
28-08-2023,Monday,3,Colaba,Laptops,20,1600000,160000
29-08-2023,Tuesday,1,Bandra,Smartphones,14,1120000,168000
30-08-2023,Wednesday,2,Andheri,Smartphones,28,2240000,336000
01-09-2023,Friday,3,Colaba,Accessories,50,100000,40000
02-09-2023,Saturday,1,Bandra,Laptops,8,640000,64000
03-09-2023,Sunday,2,Andheri,Laptops,15,1200000,120000
04-09-2023,Monday,3,Colaba,Audio,12,180000,54000
05-09-2023,Tuesday,1,Bandra,Audio,35,525000,157500
06-09-2023,Wednesday,2,Andheri,Smartphones,16,1280000,192000
07-09-2023,Thursday,3,Colaba,Laptops,22,1760000,176000
08-09-2023,Friday,1,Bandra,Accessories,55,110000,44000
09-09-2023,Saturday,2,Andheri,Accessories,70,140000,56000
10-09-2023,Sunday,3,Colaba,Smartphones,18,1440000,216000
11-09-2023,Monday,1,Bandra,Smartphones,16,1280000,192000
12-09-2023,Tuesday,2,Andheri,Audio,22,330000,99000
13-09-2023,Wednesday,3,Colaba,Laptops,18,1440000,144000
14-09-2023,Thursday,1,Bandra,Audio,40,600000,180000
15-09-2023,Friday,2,Andheri,Smartphones,30,2400000,360000
16-09-2023,Saturday,3,Colaba,Accessories,60,120000,48000
17-09-2023,Sunday,1,Bandra,Laptops,10,800000,80000
18-09-2023,Monday,2,Andheri,Smartphones,19,1520000,228000
19-09-2023,Tuesday,3,Colaba,Laptops,25,2000000,200000
20-09-2023,Wednesday,1,Bandra,Accessories,65,130000,52000
21-09-2023,Thursday,2,Andheri,Laptops,18,1440000,144000
22-09-2023,Friday,3,Colaba,Smartphones,20,1600000,240000
23-09-2023,Saturday,1,Bandra,Audio,45,675000,202500
24-09-2023,Sunday,2,Andheri,Audio,25,375000,112500
25-09-2023,Monday,3,Colaba,Accessories,55,110000,44000
26-09-2023,Tuesday,1,Bandra,Smartphones,18,1440000,216000
27-09-2023,Wednesday,2,Andheri,Accessories,80,160000,64000
28-09-2023,Thursday,3,Colaba,Laptops,28,2240000,224000
29-09-2023,Friday,1,Bandra,Laptops,12,960000,96000
30-09-2023,Saturday,2,Andheri,Smartphones,35,2800000,420000
